normInfX : 1.352259102332583
normInfY : 1.8175380415655664

 0.9084825751359866 0.3566792795969468 0.08709724759964965
 0.5389094958106317 0.31032813820210303 0.40033120725558347
Nmax : 99maj : 0.5617910063473328diff : 0.18552095256384848submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 100maj : 0.5614628066465164diff : 0.18519275286303205submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 101maj : 0.5611346069456997diff : 0.1848645531622154submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 102maj : 0.556978775652913diff : 0.18070872186942866submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 103maj : 0.5566505759520964diff : 0.1803805221686121submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 104maj : 0.5563223762512799diff : 0.18005232246779557submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 105maj : 0.5521665449584932diff : 0.17589649117500883submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 106maj : 0.5518383452576766diff : 0.17556829147419228submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 107maj : 0.5515101455568601diff : 0.17524009177337574submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 108maj : 0.5511819458560435diff : 0.1749118920725592submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 109maj : 0.5473543142640733diff : 0.171084260480589submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 110maj : 0.5470261145632568diff : 0.17075606077977246submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 111maj : 0.5466979148624402diff : 0.1704278610789559submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 112maj : 0.5463697151616238diff : 0.17009966137813948submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 113maj : 0.542213883868837diff : 0.16594383008535263submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 114maj : 0.5418856841680204diff : 0.16561563038453608submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 115maj : 0.541557484467204diff : 0.16528743068371965submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 116maj : 0.5374016531744171diff : 0.1611315993909328submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 117maj : 0.5370734534736006diff : 0.16080339969011626submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 118maj : 0.5367452537727841diff : 0.16047519998929982submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 119maj : 0.5325894224799973diff : 0.15631936869651297submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 120maj : 0.5322612227791808diff : 0.15599116899569643submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 121maj : 0.5319330230783643diff : 0.15566296929488submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 122maj : 0.5316048233775477diff : 0.15533476959406334submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 123maj : 0.5274489920847609diff : 0.1511789383012766submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 124maj : 0.5271207923839444diff : 0.15085073860046005submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 125maj : 0.5267925926831278diff : 0.1505225388996435submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 126maj : 0.5226367613903411diff : 0.14636670760685677submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 127maj : 0.5223085616895246diff : 0.14603850790604023submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 128maj : 0.521980361988708diff : 0.14571030820522368submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 129maj : 0.5178245306959213diff : 0.14155447691243694submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 130maj : 0.5174963309951047diff : 0.1412262772116204submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 131maj : 0.5171681312942882diff : 0.14089807751080385submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 132maj : 0.5126841003006849diff : 0.13641404651720057submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 133maj : 0.5123559005998684diff : 0.13608584681638403submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 134maj : 0.5120277008990519diff : 0.1357576471155676submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 135maj : 0.5078718696062651diff : 0.13160181582278074submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 136maj : 0.5075436699054485diff : 0.1312736161219642submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 137maj : 0.5072154702046321diff : 0.13094541642114776submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 138maj : 0.5030596389118452diff : 0.12678958512836092submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 139maj : 0.503044344627164diff : 0.12677429084367964submax : {0=[[0.0, 0.03125], [0.6875, 0.71875]]}
Nmax : 140maj : 0.5027314392110287diff : 0.12646138542754437submax : {0=[[0.0, 0.015625], [0.6875, 0.703125]]}
Nmax : 141maj : 0.5024032395102123diff : 0.12613318572672794submax : {0=[[0.0, 0.015625], [0.6875, 0.703125]]}
Nmax : 142maj : 0.500638229279954diff : 0.12436817549646972submax : {0=[[0.0, 0.015625], [0.6875, 0.703125]]}
